databaseID,temporalSubjectText,temporalSubjectURI
3477728,"1866-1895",
3484163,"Revolution, 1775-1783",
3495702,"Civil War, 1861-1865",
3512292,"To 1899",
3512552,"1870-1879",
3512606,"To 1899",
3517665,"Civil War, 1861-1865",
3517745,"Civil War, 1861-1865",
3517894,"Civil War, 1861-1865",
3517922,"Civil War, 1861-1865",
3517929,"1863",
3517936,"Civil War, 1861-1865",
3521127,"To 1899",
3532137,"1870-1879",
3539925,"1860-1869",
3539927,"1860-1869",
3539933,"1860-1869",
3550345,"1800-1899",
3553362,"Civil War, 1861-1865",
3553369,"Civil War, 1861-1865",
3553377,"Civil War, 1861-1865",
3553383,"Civil War, 1861-1865",
3553392,"Civil War, 1861-1865",
3553398,"Civil War, 1861-1865",
3553405,"Civil War, 1861-1865",
3553412,"Civil War, 1861-1865",
3553416,"Civil War, 1861-1865",
3553425,"Civil War, 1861-1865",
3553430,"Civil War, 1861-1865",
3553436,"Civil War, 1861-1865",
3553447,"Civil War, 1861-1865",
3553456,"Civil War, 1861-1865",
3553463,"Civil War, 1861-1865",
3553472,"Civil War, 1861-1865",
3553479,"Civil War, 1861-1865",
3553489,"Civil War, 1861-1865",
3553496,"Civil War, 1861-1865",
3553504,"Civil War, 1861-1865",
3553511,"Civil War, 1861-1865",
3553519,"Civil War, 1861-1865",
3553528,"Civil War, 1861-1865",
3553536,"Civil War, 1861-1865",
3553545,"Civil War, 1861-1865",
3553551,"Civil War, 1861-1865",
3553560,"Civil War, 1861-1865",
3553568,"Civil War, 1861-1865",
3553574,"Civil War, 1861-1865",
3553583,"Civil War, 1861-1865",
3553592,"Civil War, 1861-1865",
3553599,"Civil War, 1861-1865",
3553608,"Civil War, 1861-1865",
3553617,"Civil War, 1861-1865",
3553626,"Civil War, 1861-1865",
3553635,"Civil War, 1861-1865",
3553642,"Civil War, 1861-1865",
3553647,"Civil War, 1861-1865",
3553654,"Civil War, 1861-1865",
3553663,"Civil War, 1861-1865",
3553671,"Civil War, 1861-1865",
3553678,"Civil War, 1861-1865",
3553686,"Civil War, 1861-1865",
3553694,"Civil War, 1861-1865",
3553701,"Civil War, 1861-1865",
3553710,"Civil War, 1861-1865",
3553716,"Civil War, 1861-1865",
3553725,"Civil War, 1861-1865",
3553730,"Civil War, 1861-1865",
3553738,"Civil War, 1861-1865",
3553745,"Civil War, 1861-1865",
3553754,"Civil War, 1861-1865",
3553760,"Civil War, 1861-1865",
3553768,"Civil War, 1861-1865",
3553776,"Civil War, 1861-1865",
3553781,"Civil War, 1861-1865",
3553791,"Civil War, 1861-1865",
3553800,"Civil War, 1861-1865",
3553808,"Civil War, 1861-1865",
3553816,"Civil War, 1861-1865",
3553824,"Civil War, 1861-1865",
3553832,"Civil War, 1861-1865",
3553837,"Civil War, 1861-1865",
3553845,"Civil War, 1861-1865",
3553851,"Civil War, 1861-1865",
3553858,"Civil War, 1861-1865",
3553869,"Civil War, 1861-1865",
3553875,"Civil War, 1861-1865",
3553880,"Civil War, 1861-1865",
3553888,"Civil War, 1861-1865",
3553896,"Civil War, 1861-1865",
3553901,"Civil War, 1861-1865",
3553910,"Civil War, 1861-1865",
3553919,"Civil War, 1861-1865",
3553923,"Civil War, 1861-1865",
3553930,"Civil War, 1861-1865",
3553938,"Civil War, 1861-1865",
3553944,"Civil War, 1861-1865",
3553950,"Civil War, 1861-1865",
3553959,"Civil War, 1861-1865",
3553962,"Civil War, 1861-1865",
3553971,"Civil War, 1861-1865",
3553976,"Civil War, 1861-1865",
3553982,"Civil War, 1861-1865",
3553990,"Civil War, 1861-1865",
3553996,"Civil War, 1861-1865",
3554002,"Civil War, 1861-1865",
3554012,"Civil War, 1861-1865",
3554019,"Civil War, 1861-1865",
3554024,"Civil War, 1861-1865",
3554032,"Civil War, 1861-1865",
3554038,"Civil War, 1861-1865",
3554046,"Civil War, 1861-1865",
3554054,"Civil War, 1861-1865",
3554061,"Civil War, 1861-1865",
3554069,"Civil War, 1861-1865",
3554073,"Civil War, 1861-1865",
3554082,"Civil War, 1861-1865",
3554085,"Civil War, 1861-1865",
3554094,"Civil War, 1861-1865",
3554099,"Civil War, 1861-1865",
3554103,"Civil War, 1861-1865",
3554111,"Civil War, 1861-1865",
3554120,"Civil War, 1861-1865",
3554124,"Civil War, 1861-1865",
3554132,"Civil War, 1861-1865",
3554138,"Civil War, 1861-1865",
3554146,"Civil War, 1861-1865",
3554152,"Civil War, 1861-1865",
3554156,"Civil War, 1861-1865",
3554161,"Civil War, 1861-1865",
3554170,"Civil War, 1861-1865",
3554179,"Civil War, 1861-1865",
3554188,"Civil War, 1861-1865",
3554194,"Civil War, 1861-1865",
3554204,"Civil War, 1861-1865",
3554211,"Civil War, 1861-1865",
3554218,"Civil War, 1861-1865",
3554226,"Civil War, 1861-1865",
3554232,"Civil War, 1861-1865",
3554237,"Civil War, 1861-1865",
3554245,"Civil War, 1861-1865",
